x> y^ xi yf
Sample	Amplitude
886	0.955313146
887	0.955321789
888	0.955330372
889	0.955339015
890	0.955347657
891	0.9553563
892	0.955364943
893	0.955373585
894	0.955382228
895	0.955390871
896	0.955399513
897	0.955408156
898	0.955416799
899	0.955425441
900	0.955434084
901	0.955442727
902	0.95545131
903	0.955459952
904	0.955468595
905	0.955477238
906	0.95548588
907	0.955494523
908	0.955503166
909	0.955511808
910	0.955520451
911	0.955529094
912	0.955537736
913	0.955546379
914	0.955555022
915	0.955563664
916	0.955572248
917	0.95558089
918	0.955589533
919	0.955598176
920	0.955606818
921	0.955615461
922	0.955624104
923	0.955632746
924	0.94628787
925	0.936943054
926	0.927598178
927	0.918253303
928	0.908908486
929	0.899563611
930	0.890218794
931	0.880873919
932	0.871529043
933	0.862184227
934	0.852839351
935	0.843494534
936	0.834149659
937	0.824804783
938	0.815459967
939	0.806115091
940	0.796770215
941	0.787425399
942	0.778080523
943	0.768735647
944	0.759390831
945	0.750045955
946	0.740701079
947	0.731356263
948	0.722011447
949	0.712666571
950	0.703321695
951	0.693976879
952	0.684632003
953	0.675287127
954	0.665942311
955	0.656597435
956	0.64725256
957	0.637907743
958	0.628562868
959	0.619217992
960	0.609873176
961	0.6005283
962	0.591183424
963	0.581838608
964	0.572493792
965	0.563148916
966	0.55380404
967	0.544459224
968	0.535114348
969	0.525769472
970	0.516424656
971	0.50707978
972	0.497734934
973	0.488390088
974	0.479045212
975	0.469700366
976	0.46035552
977	0.451010644
978	0.441665828
979	0.432320952
980	0.422976077
981	0.41363126
982	0.404286385
983	0.394941509
984	0.385596693
985	0.376251817
986	0.366907001
987	0.357562125
988	0.348217249
989	0.338872433
990	0.329527557
991	0.320182741
992	0.310837865
993	0.301492989
994	0.292148173
995	0.282803297
996	0.273458421
997	0.264113605
998	0.254768729
999	0.245423853
1000	0.236079037
1001	0.226734161
1002	0.217389345
1003	0.208044469
1004	0.198699594
1005	0.189354777
1006	0.180009902
1007	0.170665085
1008	0.16132021
1009	0.151975334
1010	0.142630517
1011	0.133285642
1012	0.123940766
1013	0.11459595
1014	0.105251074
1015	0.095906198
1016	0.0865613818
1017	0.077216506
1018	0.0678716898
1019	0.058526814
1020	0.0491819382
1021	0.039837122
1022	0.0304922462
1023	0.0211473573
