x> y^ xf yf
Frequency (Hz)	Power (dB)
0	-41.3487701
43.0664062	-40.6273079
86.1328125	-39.8334084
129.199219	-38.8876152
172.265625	-37.3211517
215.332031	-36.3105736
258.398438	-35.9638367
301.464844	-35.9358063
344.53125	-36.0201645
387.597656	-36.1532974
430.664062	-34.5666313
473.730469	-34.5667
516.796875	-34.5464211
559.863281	-34.4756622
602.929688	-34.3426399
645.996094	-34.1425095
689.0625	-33.8404541
732.128906	-33.4689369
775.195312	-32.7544327
818.261719	-31.6135464
861.328125	-31.1817341
904.394531	-31.1726532
947.460938	-31.3350487
990.527344	-31.7777271
1033.59375	-32.5045204
1076.66016	-33.8189812
1119.72656	-34.8764801
1162.79297	-35.5705643
1205.85938	-35.9448395
1248.92578	-36.1676674
1291.99219	-36.2603455
1335.05859	-36.0755692
1378.125	-35.8602562
1421.19141	-34.6912575
1464.25781	-34.4600182
1507.32422	-34.4591446
1550.39062	-34.8330574
1593.45703	-35.4436493
1636.52344	-36.1086159
1679.58984	-37.1521378
1722.65625	-38.5235863
1765.72266	-39.1656647
1808.78906	-39.369976
1851.85547	-39.3638535
1894.92188	-39.0952759
1937.98828	-38.539402
1981.05469	-37.77145
2024.12109	-36.5250092
2067.1875	-35.247551
2110.25391	-34.4694099
2153.32031	-34.100235
2196.38672	-33.9086952
2239.45312	-34.0580406
2282.51953	-34.3710632
2325.58594	-35.7365608
2368.65234	-36.3662605
2411.71875	-36.8359909
2454.78516	-37.0005684
2497.85156	-37.0346756
2540.91797	-37.078804
2583.98438	-36.8214073
2627.05078	-36.3654366
2670.11719	-35.2382202
2713.18359	-34.9517212
2756.25	-35.0960655
2799.31641	-35.4313393
2842.38281	-35.9856224
2885.44922	-36.8405991
2928.51562	-38.2034988
2971.58203	-39.6295471
3014.64844	-40.6072884
3057.71484	-41.1924095
3100.78125	-41.6543427
3143.84766	-41.9790611
3186.91406	-41.801033
3229.98047	-41.6227417
3273.04688	-40.5181885
3316.11328	-39.9084549
3359.17969	-39.5125198
3402.24609	-39.4005432
3445.3125	-39.4048729
3488.37891	-39.8157387
